fecha_hora,ax,ay,az,gx,gy,gz
11287,-2.33203125,3.83984375,-6.85546875,24.74766731,-33.67926788,9.301937103
11314,-2.40234375,3.8515625,-7.005859375,31.7400322,-16.16781616,10.73705101
11333,-2.55859375,3.79296875,-7.357421875,36.27438354,-7.618198395,8.385906219
11353,-2.6328125,4.046875,-7.578125,44.3812561,1.801648974,6.233234406
11373,-2.658203125,4.359375,-8.392578125,62.93087387,17.52684021,9.210333824
11394,-2.6875,4.197265625,-8.794921875,78.83926392,34.10699081,14.38590622
11415,-2.861328125,4.201171875,-8.451171875,78.01483917,41.96958923,13.24086761
11436,-3.107421875,4.107421875,-7.94140625,67.14460754,43.19096375,-15.72096443
11460,-3.5234375,3.4140625,-7.240234375,49.83163452,44.6566124,-53.44615555
11481,-3.783203125,3.1171875,-7.109375,36.04537582,40.85508347,-76.92707062
11503,-3.66015625,3.001953125,-6.97265625,18.35071945,31.09935951,-109.6293564
11531,-3.044921875,2.294921875,-6.34765625,-6.824853897,23.4505043,-119.9652328
11553,-2.794921875,2.16796875,-5.84375,-27.31340218,24.03065681,-120.9728699
11575,-2.8046875,1.8125,-6.048828125,-33.46607208,11.54210663,-138.2705841
11596,-2.423828125,1.51171875,-5.990234375,-40.84011841,-7.099114418,-127.7514954
11619,-1.6953125,1.662109375,-5.533203125,-46.38210297,-11.63346577,-105.3545456
11640,-1.755859375,1.7734375,-5.71875,-52.48897552,-17.54186249,-95.01866913
11667,-1.60546875,1.77734375,-5.458984375,-61.38973618,-28.25942039,-77.90416718
11689,-1.232421875,1.99609375,-5.279296875,-65.90882874,-27.86247253,-71.07974243
11711,-1.37890625,2.1328125,-5.6015625,-67.32867432,-31.06858063,-70.62172699
11732,-1.146484375,2.08984375,-5.708984375,-67.00806427,-37.98461151,-67.94996643
11754,-0.9765625,2.171875,-5.61328125,-70.51951599,-39.74033737,-53.18661499
11775,-0.71875,2.1875,-5.271484375,-76.33630371,-33.31285477,-39.26294708
11796,-0.658203125,2.00390625,-5.18359375,-80.77905273,-22.22888565,-29.91943741
11817,-1.072265625,2.23046875,-5.63671875,-80.96225739,-22.28995323,-21.36981964
11839,-0.921875,2.28515625,-5.544921875,-79.03859711,-24.38155746,-17.29348373
11861,-0.69140625,2.3671875,-5.36328125,-81.58821869,-14.22888565,-15.24768257
11882,-0.744140625,2.48828125,-5.501953125,-86.01569366,-5.862473011,-9.720964432
11903,-0.748046875,2.70703125,-5.783203125,-86.76378632,1.496305466,4.553845406
11926,-0.875,3.154296875,-6.16796875,-80.32103729,10.18332863,7.408807278
11947,-1.052734375,3.615234375,-7.10546875,-65.32867432,15.93905354,1.149265289
11969,-0.8984375,3.59375,-7.4453125,-52.93172455,20.0917244,4.966059208
11990,-0.48046875,3.724609375,-7.060546875,-56.01569366,24.82455063,32.38590622
12019,-0.619140625,4.216796875,-5.890625,-74.44317627,40.99248886,45.82102203
12042,-0.9921875,3.283203125,-4.609375,-59.8324852,44.24439621,30.6607151
12063,-0.525390625,0.546875,-2.62890625,14.18278027,45.03829193,25.68361664
12085,0.64453125,-4.53515625,-0.251953125,244.9308624,83.06882477,9.424074173
12104,-2.03125,5.48828125,-7.130859375,333.8621521,140.7787628,84.7217865
12126,-10.41796875,15.99951172,-16,-271.4813538,-26.68690109,122.5996475
12149,-0.26953125,-7.498046875,-3.802734375,73.40415192,-55.08384705,-67.52248383
12172,-5.203125,5.140625,-7.25,61.0988121,55.05355835,155.1798096
12193,-4.12890625,6.125,-3.19140625,28.86980438,51.74058151,120.2179718
12296,-2.078125,5.0703125,-7.220703125,40.71713257,-5.51132822,35.56147766
12318,-1.5859375,2.68359375,-7.015625,49.8163681,2.961954355,35.68361664
12345,-1.6875,3.599609375,-7.1015625,46.82400131,14.51920605,48.8744545
12366,-0.7109375,3.34375,-7.150390625,44.39652252,10.15279388,12.1568985
12388,-0.759765625,3.44921875,-7.14453125,40.48812485,3.862717628,-15.12554359
12410,-0.484375,2.5859375,-7.466796875,36.19804764,-7.038045883,-10.5606575
12434,-0.3671875,2.65625,-7.2578125,11.05300903,-12.80903816,33.98896027
12457,-0.875,2.482421875,-7.091796875,-16.21416473,-17.80140495,36.08056259
12479,-0.650390625,2.39453125,-7.19921875,-40.45843887,-21.51132774,24.12636375
12500,-0.267578125,1.896484375,-7.216796875,-43.37446976,-25.11438179,6.446975231
12521,0.07421875,1.9609375,-7.1796875,-47.23706818,-28.96170998,-1.446154594
12547,0.32421875,2.171875,-7.576171875,-52.70271683,-28.5494957,-11.23241425
12569,0.58984375,2.341796875,-7.91796875,-63.92409134,-29.0533123,-3.491956234
12592,0.46484375,2.58203125,-7.5078125,-58.61111069,-24.47315979,11.14926529
12613,0.341796875,2.59375,-7.052734375,-38.71798325,-20.87010765,18.69124985
12638,0.03125,2.880859375,-6.955078125,-19.45080757,-20.53422928,41.89735794
12663,-0.28515625,3.58203125,-6.75390625,-0.6416471,-22.13728142,64.26377106
12685,-0.560546875,4.50390625,-6.609375,17.34308624,-23.22125244,54.95079041
12706,-0.865234375,4.490234375,-6.57421875,26.93087196,-26.41209221,44.09582901
12728,-0.716796875,4.236328125,-6.41796875,39.49575806,-31.84720612,56.72178268
12751,-1.228515625,4.3359375,-6.546875,45.06827545,-33.84720612,75.45461273
12773,-1.666015625,4.462890625,-6.06640625,46.21331406,-39.480793,67.25613403
12795,-1.634765625,4.732421875,-5.80859375,49.00720978,-42.9769783,31.36300468
12817,-1.525390625,4.318359375,-6.716796875,55.0988121,-35.28232193,33.14926529
12838,-1.330078125,4.15234375,-6.560546875,60.33545303,-19.99987793,44.75231934
12862,-1.61328125,4.10546875,-6.568359375,64.90033722,-6.122014999,26.14163208
12884,-1.578125,3.697265625,-6.25,69.23621368,4.992488861,38.99659348
12905,-2.017578125,4.603515625,-7.0234375,88.39651489,20.24439621,42.26376724
12926,-2.439453125,4.8125,-7.921875,116.6713257,25.06882477,20.98132515
12951,-2.150390625,4.50390625,-7.63671875,127.3583527,34.45813751,11.07292938
12972,-2.404296875,4.45703125,-7.853515625,119.0224686,43.78638077,-0.804933071
12995,-2.9609375,4.09765625,-8.140625,97.06827545,43.67951202,-21.76676559
13017,-3.626953125,3.416015625,-7.892578125,68.50338745,26.12225914,-46.08737564
13040,-3.6328125,3.07421875,-6.9375,36.61026382,6.656610966,-67.00340271
13062,-3.388671875,2.681640625,-6.353515625,8.991940498,2.32073307,-82.98813629
13084,-3.466796875,2.4296875,-6.25390625,-6.824853897,1.267297864,-109.2629471
13105,-3.275390625,2.087890625,-6.19140625,-18.06149292,-9.55712986,-119.1255417
13127,-2.689453125,2.0546875,-5.990234375,-25.19126511,-15.89300728,-123.3850861
13149,-2.359375,2.052734375,-6.02734375,-28.53477478,-12.48842716,-131.7056885
13173,-2.275390625,1.865234375,-6.18359375,-33.6950798,-19.75560379,-127.3392792
13196,-2.037109375,1.98828125,-5.91015625,-35.37446976,-23.64873314,-123.7514954
13217,-1.919921875,2.142578125,-6.078125,-36.85538864,-30.19835091,-133.6904297
13238,-1.72265625,2.017578125,-6.09375,-44.77905273,-37.77087021,-122.9270706
13261,-1.40625,2.22265625,-5.9296875,-57.57294464,-41.52659607,-109.7056961
13283,-1.220703125,2.08984375,-5.873046875,-71.14546967,-48.51896286,-105.3850861
13426,-0.8125,1.990234375,-5.443359375,-93.13020325,-33.93880844,-39.81256866
13450,-0.884765625,2.23828125,-5.533203125,-96.84012604,-26.13728142,-29.56829071
13472,-0.982421875,2.419921875,-5.84765625,-94.93172455,-18.56476402,-25.12554359
13493,-0.759765625,2.48828125,-5.666015625,-93.34394073,-14.67163372,-15.73623085
13513,-0.59765625,2.845703125,-5.716796875,-93.90882874,-4.580030441,-3.629360676
13533,-0.908203125,3.19921875,-5.953125,-90.44317627,3.954320669,4.034761429
13554,-1.072265625,3.283203125,-6.224609375,-81.58821869,10.33600044,5.088196754
13576,-0.787109375,2.916015625,-6.1796875,-73.77142334,11.25203037,12.43170738
13596,-0.322265625,3.025390625,-5.759765625,-62.01568985,19.06882477,34.75231934
13620,-0.271484375,2.982421875,-5.494140625,-46.71798325,36.01538849,51.75995255
13641,-0.84375,3.1640625,-5.521484375,-21.13019562,46.85508347,60.93552399
13662,-0.421875,2.048828125,-4.818359375,27.64842987,45.03829193,58.27903748
13683,1.001953125,-0.150390625,-3.265625,111.5873566,72.36653137,61.62254715
13707,1.810546875,-4.40625,-2.123046875,339.7705688,167.0993652,56.98132706
13728,-13.30078125,15.99951172,-14.61328125,226.1369781,74.06118774,166.187439
13749,-3.68359375,7.1640625,-16,-195.6034851,-118.0304108,68.50804901
13774,0.5625,-3.06640625,-8.33984375,-7.954624176,-2.457893133,55.28667068
13796,-5.76953125,6.234375,-4.689453125,32.25911713,52.06119156,156.1721649
13819,-2.6328125,7.51171875,-4.66015625,21.9537735,64.18332672,34.69124985
13839,0.162109375,3.9375,-7.876953125,39.41942215,40.82455063,-49.18661499
13862,1.1328125,1.72265625,-7.45703125,49.05300903,25.12989235,68.69125366
13885,-0.2890625,2.236328125,-6.345703125,36.3049202,8.519206047,135.1798096
13905,-1.36328125,5.240234375,-6.583984375,34.13697815,1.313099384,98.20270538
13927,-2,4.26171875,-7.189453125,45.77056885,-5.267053127,29.21033287
13946,-1.65625,2.498046875,-6.966796875,46.97667313,-0.992244124,41.40880585
13968,-0.791015625,2.40234375,-6.953125,42.93087387,6.76348114,66.56911469
13988,-1.017578125,3.01171875,-7.078125,37.66369629,4.244397163,48.00422668
14009,-0.83984375,2.892578125,-7.5859375,33.19041443,-5.893007755,35.71414948
14029,-0.626953125,2.646484375,-7.43359375,25.86217117,-15.49606133,55.53094482
14049,-0.751953125,2.63671875,-7.81640625,6.106444359,-25.32812119,54.8744545
14072,-1.0078125,2.55859375,-8.009765625,-30.01569366,-36.24415207,71.72942352
14093,-0.73828125,2.806640625,-7.80859375,-77.51187897,-44.763237,85.72942352
14116,0.41796875,2.357421875,-8.025390625,-108.3515701,-38.12201691,68.18743896
14138,0.751953125,2.36328125,-8.138671875,-104.3821106,-37.25178528,32.08056259
14159,0.927734375,1.900390625,-7.798828125,-81.60348511,-36.74797058,16.63018036
14184,0.76171875,2.181640625,-7.42578125,-50.79431915,-19.40445709,46.17216492
14206,0.177734375,2.77734375,-6.84375,-29.19126511,-19.00751114,62.75231934
14227,-0.03515625,3.046875,-6.453125,-20.03096008,-16.04567909,85.97369385
14250,-0.798828125,4.01953125,-6.44921875,-6.259967804,-15.96934319,87.51567841
14271,-1.203125,4.421875,-6.541015625,17.64842987,-22.65636635,51.9431572
14292,-1.068359375,4.31640625,-6.041015625,39.0988121,-23.28232002,28.87445641
14311,-0.791015625,4.138671875,-5.861328125,53.41942215,-17.61819839,25.65308189
14331,-0.869140625,4.033203125,-5.900390625,62.19804764,-16.3357563,34.06529617
14351,-1.2734375,4.45703125,-6.232421875,69.8163681,-20.90064049,34.46224213
14373,-1.634765625,4.619140625,-5.8671875,69.58735657,-25.74033546,17.11873055
14395,-1.40625,4.765625,-5.873046875,72.48812103,-24.38155746,-0.972872257
14416,-1.380859375,4.51953125,-6.86328125,82.12171173,-24.82430458,-5.614093304
14538,-2,3.978515625,-6.54296875,69.2514801,7.297832012,-4.804933071
14559,-2.39453125,3.599609375,-7.099609375,65.66369629,14.76348114,-30.46905518
14583,-2.34375,3.388671875,-6.92578125,63.57209396,22.36653519,-43.9805069
14605,-2.220703125,3.1328125,-6.515625,53.15988159,32.54973984,-41.90417099
14626,-2.201171875,3.572265625,-6.15625,40.45759201,49.05355835,-51.36981964
14649,-2.732421875,3.56640625,-6.392578125,34.70186234,65.00775909,-70.39271545
14671,-2.78125,3.61328125,-6.70703125,45.44995499,68.59554291,-88.92707062
14692,-2.48828125,3.4453125,-6.974609375,48.3049202,63.90851974,-119.3850861
14712,-2.451171875,3.0546875,-7.875,38.71713257,49.78638077,-114.9728699
14734,-2.265625,2.744140625,-8.056640625,18.71713257,33.06882477,-97.15607452
14756,-2.095703125,2.65234375,-7.767578125,-14.19889927,19.52684021,-94.31638336
14777,-2.31640625,2.255859375,-7.55859375,-45.77141571,3.358900785,-108.4843216
14798,-2.1640625,1.845703125,-7.185546875,-67.86302185,-10.97697735,-118.0721054
14819,-1.86328125,1.5703125,-6.8828125,-81.06912994,-25.09911346,-119.4156189
14842,-1.5703125,1.65234375,-6.55078125,-86.07676697,-39.05331421,-126.8659973
14864,-1.248046875,1.60546875,-6.517578125,-87.3134079,-43.480793,-127.8583679
14885,-1.017578125,1.490234375,-6.3046875,-87.89356232,-41.86247253,-113.1866074
14906,-1.037109375,1.529296875,-6.248046875,-87.1760025,-45.17544937,-87.73622894
14928,-1.09375,1.91796875,-6.1015625,-88.1836319,-48.87010574,-78.65225983
14950,-0.919921875,2.130859375,-5.943359375,-88.90119171,-44.19835281,-90.59118652
14972,-1.099609375,1.8984375,-6.16015625,-91.25233459,-42.64109802,-88.07210541
14993,-0.8671875,1.779296875,-5.818359375,-90.12256622,-41.78613663,-66.33164978
15014,-0.87890625,2.330078125,-5.90625,-86.77905273,-36.79376984,-57.87363434
15038,-0.927734375,2.369140625,-5.94140625,-88.04623413,-34.53422928,-61.11027908
15059,-0.84375,2.033203125,-5.546875,-91.37447357,-29.98461151,-48.54539108
15080,-0.890625,2.359375,-5.365234375,-91.52714539,-24.80903816,-35.8431015
15105,-0.93359375,2.37890625,-5.17578125,-95.90882874,-20.16781616,-28.07210922
15127,-0.990234375,2.49609375,-5.1953125,-100.7943192,-16.10674858,-14.04157448
15150,-1.16796875,2.841796875,-5.115234375,-103.2523346,-12.04567909,-10.86600113
15172,-1.29296875,2.998046875,-5.021484375,-107.3439407,-9.725069046,-9.018672943
15196,-1.0546875,3.423828125,-4.947265625,-109.71035,-5.038045883,-10.24004745
15217,-1.140625,3.564453125,-5.375,-103.511879,-6.274686813,0.70651722
15237,-1.44921875,4.181640625,-6.103515625,-88.68745422,-10.48842716,22.12636375
15257,-1.294921875,5.076171875,-6.34765625,-78.84012604,-10.16781712,33.24086761
15279,-0.806640625,5.06640625,-6.115234375,-83.83248901,-7.205984592,54.70651627
15299,-0.544921875,5.296875,-5.44921875,-86.53478241,-0.30522123,82.38591003
15321,-0.505859375,5.240234375,-4.56640625,-92.09203339,3.374168158,102.0958328
15341,-0.24609375,4.775390625,-3.720703125,-91.63401794,-0.641099095,110.0042267
15360,0.322265625,3.423828125,-2.50390625,-62.93172073,-0.320488423,98.00422668
15380,1.056640625,-0.779296875,-1.0703125,41.96903992,30.22912979,59.25613403
15402,0.775390625,-5.400390625,-0.806640625,318.6560669,94.7329483,13.63781548
15422,0.5,-3.68359375,-4.658203125,503.984314,173.5573883,-4.148444653
15442,-11.2265625,15.99951172,-16,-165.8935547,19.6642437,189.5920105
15462,2.611328125,-16,1.330078125,239.6789551,-237.5265808,-455.9957886
15482,-0.751953125,-6.51171875,-11.87695313,-36.35157013,-11.72506905,112.5691147
15507,-4.205078125,8.41796875,-3.58203125,-15.4355402,45.90851974,231.943161
15530,-2.6484375,11.64453125,-4.93359375,31.28201675,46.0917244,-66.82019806
15672,-0.294921875,4.505859375,-7.392578125,43.22094727,3.694778681,61.66835022
15694,0.353515625,2.986328125,-7.525390625,34.19804764,13.48103809,72.06529999
15718,0.09765625,3.4375,-7.34375,11.70949745,14.8092823,66.84392548
15739,-0.119140625,2.947265625,-7.232421875,10.68659687,13.81691647,21.56147766
15759,-0.0078125,2.25,-6.97265625,16.15224648,12.16806126,12.20269966
15779,0.0859375,2.419921875,-7.009765625,14.77820015,13.17569447,28.53857803
15801,-0.263671875,3.03125,-6.775390625,7.801100731,12.90088558,33.92789078
15822,-0.3984375,3.37109375,-6.837890625,2.472856522,5.816915989,25.31720352
15843,-0.26171875,3.33203125,-6.8125,-3.740883589,-0.564763308,27.43934059
15864,-0.14453125,3.42578125,-6.638671875,-6.198899269,-5.144916058,32.81338882
15885,-0.08203125,3.45703125,-6.8125,-3.985158682,-10.25941944,32.75231934
15909,-0.017578125,3.2734375,-6.77734375,2.610261202,-15.70980072,50.12636566
15930,0.00390625,3.65234375,-6.498046875,12.50339031,-15.17545033,59.05766296
15955,-0.41015625,3.591796875,-6.583984375,28.18278122,-14.50369453,55.71414948
15979,-0.359375,3.583984375,-6.52734375,44.80873489,-15.96934319,59.48514175
16001,-0.615234375,4.3515625,-6.416015625,55.15988159,-21.40445709,48.09582901
16025,-0.734375,4.259765625,-6.3203125,67.63316345,-25.55712891,26.61491394
16048,-0.619140625,3.857421875,-6.4609375,76.86979675,-27.09911346,51.04239273
16071,-1.0703125,4.375,-6.396484375,77.28201294,-33.61819839,53.86682129
16092,-0.75,4.572265625,-6.357421875,74.30491638,-37.2670517,31.10346413
16116,-0.55078125,4.25390625,-7.3125,86.16751099,-33.67926788,13.89735603
16138,-0.6640625,4.09375,-7.830078125,86.44232178,-27.63346481,43.60728073
16160,-0.849609375,3.85546875,-7.271484375,74.03010559,-19.70980072,62.67598343
16183,-1.384765625,3.673828125,-6.771484375,61.80110168,-19.84720612,40.12636566
