entrenamiento_id,dispositivo_id,fecha_hora,ax,ay,az,mx,my,mz,gx,gy,gz
3,4,40270,-1.0126953125,-0.0673828125,-0.0068359375,0.0,0.0,0.0,-0.0176181793212891,0.0780444145202637,0.0555012598633766
3,1,40280,-0.99267578125,-0.09423828125,0.091796875,0.0,0.0,0.0,-0.023492693901062,0.0939084589481354,-0.141687631607056
3,2,40284,-0.33203125,-0.046630859375,0.892578125,0.0,0.0,0.0,-71.8302307128906,44.050422668457,38.1266441345215
3,3,40291,-1.0009765625,0.05322265625,-0.00146484375,0.0,0.0,0.0,0.111622333526611,-0.050324559211731,-0.0575165748596191
3,4,40297,-1.0107421875,-0.0703125,-0.0087890625,0.0,0.0,0.0,-0.0176181793212891,-0.120428800582886,0.0707684382796288
3,1,40306,-0.99169921875,-0.0927734375,0.0966796875,0.0,0.0,0.0,0.0528432130813599,-0.394641160964966,0.133121609687805
3,2,40308,-0.0205078125,0.031005859375,1.01318359375,0.0,0.0,0.0,-68.9447402954102,37.6534767150879,-8.51457595825195
3,3,40312,-1.0,0.05615234375,-0.00830078125,0.0,0.0,0.0,0.21849250793457,0.148148775100708,-0.0422494113445282
3,4,40318,-1.009765625,-0.07275390625,-0.01025390625,0.0,0.0,0.0,-0.0481524467468262,0.0780444145202637,-0.0513689704239368
3,1,40329,-0.99658203125,-0.0908203125,0.08642578125,0.0,0.0,0.0,-0.00822544097900391,0.12444281578064,-0.0195502042770386
3,2,40331,-0.076904296875,-0.47509765625,0.917724609375,0.0,0.0,0.0,-58.0897750854492,44.4779052734375,36.920539855957
3,3,40336,-0.99560546875,0.0546875,0.001953125,0.0,0.0,0.0,0.111622333526611,-0.29459935426712,0.0340864658355713
3,4,40341,-1.0126953125,-0.06982421875,-0.00341796875,0.0,0.0,0.0,-0.1092209815979,0.0627772808074951,-0.142972022294998
3,1,40351,-0.99951171875,-0.0986328125,0.0888671875,0.0,0.0,0.0,0.0681103467941284,-0.272503733634949,-0.0500845909118652
3,2,40353,-0.202392578125,-0.154296875,0.93017578125,0.0,0.0,0.0,-46.563060760498,49.8214149475098,74.5693893432617
3,3,40357,-0.998046875,0.0556640625,0.001953125,0.0,0.0,0.0,-0.16318690776825,0.0412784814834595,0.0493536591529846
3,4,40363,-1.0087890625,-0.0712890625,-0.00439453125,0.0,0.0,0.0,-0.1092209815979,-0.0135586261749268,-0.036101795732975
3,1,40372,-0.994140625,-0.0927734375,0.08251953125,0.0,0.0,0.0,-0.00822544097900391,-0.0587632954120636,-0.00428295135498047
3,2,40374,-0.3662109375,-0.004638671875,0.9091796875,0.0,0.0,0.0,-41.2653503417969,45.8061485290527,42.9052734375
3,3,40378,-0.9931640625,0.0556640625,-0.00439453125,0.0,0.0,0.0,0.050553560256958,-0.202996253967285,0.0493536591529846
3,4,40384,-1.01171875,-0.06494140625,-0.00341796875,0.0,0.0,0.0,-0.185556888580322,-0.166230320930481,-0.020834619179368
3,1,40394,-0.9892578125,-0.0927734375,0.09033203125,0.0,0.0,0.0,0.0986447334289551,-0.241969406604767,-0.0958861112594604
3,2,40396,-0.356201171875,-0.0966796875,0.916259765625,0.0,0.0,0.0,-39.677562713623,42.4168357849121,11.8213014602661
3,3,40400,-0.99755859375,0.05029296875,0.0009765625,0.0,0.0,0.0,0.340629935264587,-0.0808588266372681,0.324162840843201
3,4,40405,-1.00830078125,-0.0732421875,-0.001953125,0.0,0.0,0.0,-0.246625423431396,-0.0746272802352905,0.101302787661552
3,1,40414,-0.9951171875,-0.1044921875,0.08203125,0.0,0.0,0.0,-0.0540269613265991,-0.135099172592163,-0.0348173379898071
3,2,40416,-0.17822265625,-0.167724609375,0.931884765625,0.0,0.0,0.0,-35.677562713623,43.3481330871582,8.43198871612549
3,3,40420,-1.0009765625,0.05517578125,0.0,0.0,0.0,0.0,0.172690987586975,-0.0961260795593262,0.0188193023204803
3,4,40427,-1.0087890625,-0.07177734375,-0.0048828125,0.0,0.0,0.0,-0.292427062988281,-0.196764707565308,-0.173506379127502
3,1,40436,-0.9892578125,-0.099609375,0.0908203125,0.0,0.0,0.0,0.0986447334289551,-0.333572447299957,0.194190263748169
3,2,40437,-0.167724609375,-0.17041015625,0.912109375,0.0,0.0,0.0,-32.1508445739746,45.0275230407715,22.844202041626
3,3,40442,-0.9970703125,0.05615234375,-0.0068359375,0.0,0.0,0.0,0.310095548629761,-0.111393213272095,0.0188193023204803
3,4,40447,-1.0107421875,-0.07275390625,-0.0087890625,0.0,0.0,0.0,-0.139755249023438,0.0780444145202637,0.177638664841652
3,1,40456,-0.99462890625,-0.09814453125,0.087890625,0.0,0.0,0.0,-0.0387598276138306,0.0175725817680359,-0.0195502042770386
3,2,40458,-0.25390625,-0.042724609375,0.9013671875,0.0,0.0,0.0,-33.4027557373047,44.4473724365234,22.2182483673096
3,3,40462,-0.99951171875,0.05712890625,0.00439453125,0.0,0.0,0.0,0.0963550806045532,-0.218263447284698,0.0188193023204803
3,4,40467,-1.0087890625,-0.0703125,0.0,0.0,0.0,0.0,-0.170289993286133,-0.105161666870117,-0.0666361451148987
3,1,40476,-0.99072265625,-0.08984375,0.0947265625,0.0,0.0,0.0,-0.160897254943848,-0.165633529424667,-0.0500845909118652
3,2,40478,-0.346923828125,-0.046142578125,0.87548828125,0.0,0.0,0.0,-35.0516090393066,43.6076774597168,9.88236999511719
3,3,40482,-0.9951171875,0.05029296875,0.0,0.0,0.0,0.0,0.111622333526611,-0.264064967632294,-0.0575165748596191
3,4,40487,-1.00634765625,-0.0693359375,-0.0107421875,0.0,0.0,0.0,0.0281834602355957,0.10857880115509,0.0249669086188078
3,1,40498,-0.994140625,-0.09619140625,0.08935546875,0.0,0.0,0.0,-0.0540269613265991,-0.119832009077072,0.133121609687805
3,2,40499,-0.329345703125,-0.127685546875,0.8681640625,0.0,0.0,0.0,-36.6393966674805,42.7221794128418,11.4548892974854
3,3,40504,-0.99365234375,0.05517578125,-0.00390625,0.0,0.0,0.0,0.0810879468917847,-0.050324559211731,0.110422372817993
3,4,40510,-1.0087890625,-0.0703125,0.00146484375,0.0,0.0,0.0,0.135053634643555,0.139113187789917,0.131837129592896
3,1,40519,-0.99462890625,-0.0986328125,0.08984375,0.0,0.0,0.0,0.14444625377655,0.139709994196892,-0.126420378684998
3,2,40521,-0.3095703125,-0.134033203125,0.878173828125,0.0,0.0,0.0,-37.6317596435547,43.5924072265625,22.569393157959
